carton|plan|category_label|stage|active|program|version_pk|tag|mapper_pk|mapper_label|category_pk|magnitude_placeholders
openfibertargets_nov2020_35b|0.5.3|science|open|y|open_fiber|95|0.3.4|||0|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
openfibertargets_nov2020_35c|0.5.3|science|open|y|open_fiber|95|0.3.4|||0|{'SDSS_None', 'SDSS_Invalid', 'TMASS_Invalid'}
openfibertargets_nov2020_46|0.5.3|science|open|y|open_fiber|95|0.3.4|||0|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
openfibertargets_nov2020_47a|0.5.3|science|open|y|open_fiber|95|0.3.4|||0|{'SDSS_None', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
openfibertargets_nov2020_47b|0.5.3|science|open|y|open_fiber|95|0.3.4|||0|{'SDSS_None', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
openfibertargets_nov2020_47c|0.5.3|science|open|y|open_fiber|95|0.3.4|||0|{'SDSS_None', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
openfibertargets_nov2020_47d|0.5.3|science|open|y|open_fiber|95|0.3.4|||0|{'SDSS_None', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
openfibertargets_nov2020_47e|0.5.3|science|open|y|open_fiber|95|0.3.4|||0|{'SDSS_None'}
openfibertargets_nov2020_5|0.5.3|science|open|y|open_fiber|95|0.3.4|||0|{'SDSS_None', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
openfibertargets_nov2020_6a|0.5.3|science|open|y|open_fiber|95|0.3.4|||0|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
openfibertargets_nov2020_6b|0.5.3|science|open|y|open_fiber|95|0.3.4|||0|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
openfibertargets_nov2020_6c|0.5.3|science|open|y|open_fiber|95|0.3.4|||0|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
openfibertargets_nov2020_8|0.5.3|science|open|y|open_fiber|95|0.3.4|||0|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
openfibertargets_nov2020_9|0.5.3|science|open|y|open_fiber|95|0.3.4|||0|{'SDSS_None', 'SDSS_-9999.0', 'SDSS_Invalid'}
