carton|program|version_pk|plan|tag|mapper_pk|mapper_label|category_pk|category_label|value|value_min|value_max|priority_min|priority_max|cadence_pk|cadence_label|lambda_eff|instrument_pk|instrument_label|magnitude_placeholder
mwm_cb_uvex2|mwm_cb|83|0.5.0|0.3.0|0|MWM|0|science|{1.0, 2.0, 3.0}|1.0|3.0|1400|1400|{32, 1, 31}|{'bright_1x1', 'dark_1x3', 'dark_1x2'}|{5400.0}|{0}|{'BOSS'}|{'SDSS_Invalid', 'TMASS_Invalid', 'SDSS_None', 'GAIA_Invalid', 'SDSS_-9999.0'}
mwm_cb_uvex3|mwm_cb|83|0.5.0|0.3.0|0|MWM|0|science|{1.0, 2.0, 3.0}|1.0|3.0|1400|1400|{32, 1, 31}|{'bright_1x1', 'dark_1x3', 'dark_1x2'}|{5400.0}|{0}|{'BOSS'}|{'SDSS_Invalid', 'TMASS_Invalid', 'GAIA_Invalid', 'SDSS_None'}
mwm_cb_uvex4|mwm_cb|83|0.5.0|0.3.0|0|MWM|0|science|{1.0, 2.0, 3.0}|1.0|3.0|1400|1400|{32, 1, 31}|{'bright_1x1', 'dark_1x3', 'dark_1x2'}|{5400.0}|{0}|{'BOSS'}|{'SDSS_Invalid', 'TMASS_Invalid', 'SDSS_None', 'GAIA_Invalid', 'SDSS_-9999.0'}
mwm_cb_uvex5|mwm_cb|83|0.5.0|0.3.0|0|MWM|0|science|{3.0}|3.0|3.0|1400|1400|{10}|{'bright_3x1'}|{16000.0}|{1}|{'APOGEE'}|{'SDSS_Invalid', 'SDSS_None', 'SDSS_-9999.0'}
mwm_dust_core|mwm_dust|83|0.5.0|0.3.0|0|MWM|0|science|{1.0}|1.0|1.0|2720|2720|{1}|{'bright_1x1'}|{16000.0}|{1}|{'APOGEE'}|{'SDSS_Invalid', 'SDSS_None', 'GAIA_Invalid', 'SDSS_-9999.0'}
mwm_erosita_compact_gen|mwm_erosita|93|0.5.2|0.3.3|0|MWM|0|science|{1.0, 2.0, 3.0}|1.0|3.0|1910|2400|{32, 1, 31}|{'dark_1x2', 'dark_1x3', 'bright_1x1'}|{5400.0}|{0}|{'BOSS'}|{'SDSS_Invalid', 'TMASS_Invalid', 'GAIA_Invalid', 'SDSS_None'}
mwm_erosita_compact_var|mwm_erosita|93|0.5.2|0.3.3|0|MWM|0|science|{1.0, 2.0, 3.0}|1.0|3.0|1900|2400|{32, 1, 31}|{'dark_1x2', 'dark_1x3', 'bright_1x1'}|{5400.0}|{0}|{'BOSS'}|{'SDSS_Invalid', 'TMASS_Invalid', 'GAIA_Invalid', 'SDSS_None'}
mwm_erosita_stars|mwm_erosita|93|0.5.2|0.3.3|0|MWM|0|science|{1.0, 2.0}|1.0|2.0|1920|2400|{1, 31}|{'bright_1x1', 'dark_1x2'}|{16000.0, 5400.0}|{0, 1}|{'APOGEE', 'BOSS'}|{'SDSS_Invalid', 'TMASS_Invalid', 'SDSS_None', 'GAIA_Invalid', 'SDSS_-9999.0'}
mwm_galactic_core|mwm_galactic|83|0.5.0|0.3.0|0|MWM|0|science|{1.0}|1.0|1.0|2710|2710|{1}|{'bright_1x1'}|{16000.0}|{1}|{'APOGEE'}|{'SDSS_Invalid', 'TMASS_Invalid', 'GAIA_Invalid', 'SDSS_-9999.0'}
mwm_halo_bb_boss|mwm_filler|92|0.5.1|0.3.2|0|MWM|0|science|{1.0}|1.0|1.0|6050|6090|{1}|{'bright_1x1'}|{5400.0}|{0}|{'BOSS'}|{'SDSS_Invalid', 'SDSS_None', 'GAIA_Invalid', 'SDSS_-9999.0'}
mwm_halo_sm_boss|mwm_filler|92|0.5.1|0.3.2|0|MWM|0|science|{1.0}|1.0|1.0|6055|6070|{1}|{'bright_1x1'}|{5400.0}|{0}|{'BOSS'}|{'SDSS_Invalid', 'TMASS_Invalid', 'GAIA_Invalid', 'SDSS_None'}
